#   Step          Temp          Press            Lx             Ly             Lz             Xy             Xz             Yz      
     86000   297.42243     -216.66298      93.310769      38.023661      41.523432      0              0              0            
     87000   301.41875     -466.49758      93.344652      38.037468      41.53851       0              0              0            
     88000   298.13514     -217.35729      93.335458      38.033721      41.534418      0              0              0            
     89000   302.47723     -30.668913      93.264477      38.004797      41.502832      0              0              0            
     90000   301.1452       523.17545      93.27072       38.007341      41.50561       0              0              0            
     91000   294.5657       333.50404      93.320535      38.02764       41.527778      0              0              0            
     92000   299.4481      -270.84604      93.222602      37.987733      41.484197      0              0              0            
     93000   298.18128     -83.595736      93.370065      38.047824      41.549819      0              0              0            
     94000   297.298       -248.22105      93.337774      38.034665      41.535449      0              0              0            
     95000   299.61356     -522.28576      93.374381      38.049582      41.551739      0              0              0            
     96000   299.60654      48.92354       93.338449      38.03494       41.53575       0              0              0            
     97000   303.33593     -125.36826      93.293643      38.016682      41.515811      0              0              0            
     98000   302.3846      -658.43647      93.322132      38.028291      41.528488      0              0              0            
     99000   300.87629     -71.502961      93.315427      38.025559      41.525505      0              0              0            
    100000   300.04491      160.98181      93.319575      38.027249      41.52735       0              0              0            
    101000   298.81271      108.21646      93.304699      38.021187      41.520731      0              0              0            
    102000   303.02913     -155.21756      93.335857      38.033884      41.534596      0              0              0            
    103000   298.94086     -449.92408      93.330174      38.031568      41.532067      0              0              0            
    104000   303.25655      722.81224      93.294952      38.017215      41.516393      0              0              0            
    105000   297.29453      748.33093      93.239521      37.994628      41.491726      0              0              0            
    106000   300.64901     -553.48212      93.301298      38.019801      41.519217      0              0              0            
    107000   298.67017     -434.57288      93.296637      38.017902      41.517143      0              0              0            
    108000   301.34415     -192.68625      93.288533      38.0146        41.513537      0              0              0            
    109000   300.41342     -649.46156      93.273734      38.008569      41.506951      0              0              0            
    110000   300.36082      104.76448      93.30139       38.019839      41.519258      0              0              0            
    111000   299.85686     -1.5929533      93.293474      38.016613      41.515736      0              0              0            
    112000   300.02209      166.4517       93.30405       38.020923      41.520442      0              0              0            
    113000   297.16343      732.74253      93.246579      37.997504      41.494867      0              0              0            
    114000   300.34485      1539.8127      93.246182      37.997342      41.494691      0              0              0            
    115000   301.38222      474.19711      93.25945       38.002749      41.500595      0              0              0            
    116000   297.61104      768.05443      93.317598      38.026444      41.526471      0              0              0            
    117000   299.3514      -962.38603      93.328744      38.030985      41.531431      0              0              0            
    118000   296.45875     -1938.8125      93.178457      37.969744      41.464553      0              0              0            
    119000   296.86482      370.46029      93.241347      37.995372      41.492539      0              0              0            
    120000   302.2849       533.25716      93.338474      38.03495       41.535761      0              0              0            
    121000   301.84117     -345.6015       93.2905        38.015401      41.514412      0              0              0            
    122000   301.67377      518.48024      93.279198      38.010796      41.509383      0              0              0            
    123000   297.61628     -685.85354      93.306567      38.021949      41.521562      0              0              0            
    124000   301.28511     -357.67672      93.266357      38.005563      41.503669      0              0              0            
    125000   298.30291      328.69239      93.265968      38.005405      41.503495      0              0              0            
    126000   300.56749      1214.6768      93.261133      38.003434      41.501344      0              0              0            
    127000   301.52789      420.97518      93.272859      38.008213      41.506562      0              0              0            
    128000   301.28881     -684.67344      93.401295      38.06055       41.563716      0              0              0            
    129000   296.90195      67.045532      93.256197      38.001423      41.499147      0              0              0            
    130000   300.32574      197.28835      93.332091      38.032349      41.53292       0              0              0            
    131000   298.60382     -129.54875      93.28287       38.012292      41.511017      0              0              0            
    132000   299.17344      418.80734      93.27213       38.007915      41.506237      0              0              0            
    133000   303.31646     -405.22148      93.259663      38.002835      41.50069       0              0              0            
    134000   297.99525      179.72042      93.370971      38.048193      41.550222      0              0              0            
    135000   303.58652      27.860555      93.21192       37.98338       41.479444      0              0              0            
    136000   302.97211     -541.18049      93.305161      38.021376      41.520937      0              0              0            
    137000   301.10742     -18.735281      93.306312      38.021844      41.521448      0              0              0            
    138000   299.83463     -326.3391       93.348607      38.039079      41.54027       0              0              0            
    139000   302.56807     -433.95494      93.347179      38.038498      41.539634      0              0              0            
    140000   297.43527      67.749993      93.320954      38.027811      41.527964      0              0              0            
    141000   300.65073      423.79811      93.293718      38.016713      41.515844      0              0              0            
    142000   296.91471     -116.59366      93.374511      38.049635      41.551797      0              0              0            
    143000   300.78028      780.98106      93.279354      38.010859      41.509452      0              0              0            
    144000   301.09737     -411.65088      93.344485      38.0374        41.538436      0              0              0            
    145000   299.10103     -12.401129      93.338242      38.034856      41.535657      0              0              0            
    146000   298.64351      407.22554      93.3297        38.031375      41.531856      0              0              0            
    147000   296.63171     -21.953034      93.267307      38.00595       41.504091      0              0              0            
    148000   300.85033      525.36025      93.285225      38.013252      41.512065      0              0              0            
    149000   302.27051      893.96369      93.245595      37.997103      41.49443       0              0              0            
    150000   298.50417      970.33612      93.243894      37.99641       41.493673      0              0              0            
    151000   299.00092      95.408258      93.331439      38.032084      41.53263       0              0              0            
    152000   300.96672      1226.4082      93.228467      37.990123      41.486808      0              0              0            
    153000   300.80142     -304.11514      93.314053      38.024999      41.524893      0              0              0            
    154000   298.90419      129.71881      93.334563      38.033357      41.53402       0              0              0            
    155000   300.39818      451.51103      93.257217      38.001838      41.499601      0              0              0            
    156000   300.30775     -924.41717      93.278786      38.010628      41.5092        0              0              0            
    157000   298.75163     -428.76664      93.277881      38.010259      41.508797      0              0              0            
    158000   303.05582      528.76237      93.327249      38.030376      41.530765      0              0              0            
    159000   298.16556     -41.790663      93.227444      37.989706      41.486352      0              0              0            
    160000   297.5524      -272.45237      93.330428      38.031672      41.53218       0              0              0            
    161000   299.48913      309.0557       93.237149      37.993661      41.490671      0              0              0            
    162000   297.91967     -1175.7358      93.367702      38.046861      41.548767      0              0              0            
    163000   299.89956     -525.24184      93.278748      38.010612      41.509183      0              0              0            
    164000   301.85017      399.17808      93.253617      38.000372      41.497999      0              0              0            
    165000   297.44808     -282.77763      93.246375      37.99742       41.494776      0              0              0            
    166000   299.06075     -918.54603      93.302563      38.020317      41.51978       0              0              0            
    167000   302.01275      581.26963      93.284962      38.013145      41.511948      0              0              0            
    168000   301.38119     -262.56636      93.317375      38.026353      41.526372      0              0              0            
    169000   297.72288     -658.62762      93.287991      38.014379      41.513296      0              0              0            
    170000   300.03872      851.98919      93.219303      37.986389      41.48273       0              0              0            
    171000   299.53483     -348.88487      93.240871      37.995178      41.492327      0              0              0            
    172000   301.29362      163.29412      93.239641      37.994677      41.49178       0              0              0            
    173000   300.79025     -296.14467      93.285131      38.013213      41.512023      0              0              0            
    174000   298.95736      685.36847      93.135618      37.952288      41.445489      0              0              0            
    175000   302.0368      -276.64318      93.300423      38.019445      41.518828      0              0              0            
    176000   300.31826      190.14581      93.35801       38.042911      41.544454      0              0              0            
    177000   300.20655     -346.71142      93.369283      38.047505      41.549471      0              0              0            
    178000   297.49285     -969.64486      93.313217      38.024658      41.524521      0              0              0            
    179000   299.6766       900.34338      93.320282      38.027537      41.527665      0              0              0            
    180000   303.55155     -175.97082      93.290376      38.015351      41.514357      0              0              0            
    181000   301.69992     -107.95983      93.404262      38.061759      41.565037      0              0              0            
